UserID,EventType,TimeElapsed,timestamp,VariableFields
gan49UJ6RY9RJABg1Cx9,START,0,2025-03-06T07:15:22.399Z,{}
gan49UJ6RY9RJABg1Cx9,QSubmit,43,2025-03-06T07:16:05.207Z,"{""Qn"":0,""Soption"":3,""FirsttimeSeen"":1,""ResponseTime"":42}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,43,2025-03-06T07:16:05.208Z,"{""Qn"":1,""FirsttimeSeen"":43}"
gan49UJ6RY9RJABg1Cx9,QChange,43,2025-03-06T07:16:05.208Z,"{""Qn"":0,""Qnto"":1,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,QSubmit,52,2025-03-06T07:16:14.178Z,"{""Qn"":1,""Soption"":3,""FirsttimeSeen"":43,""ResponseTime"":9}"
gan49UJ6RY9RJABg1Cx9,QChange,52,2025-03-06T07:16:14.179Z,"{""Qn"":1,""Qnto"":2,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,52,2025-03-06T07:16:14.179Z,"{""Qn"":2,""FirsttimeSeen"":52}"
gan49UJ6RY9RJABg1Cx9,QChange,81,2025-03-06T07:16:43.410Z,"{""Qn"":2,""Qnto"":1,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,QChange,84,2025-03-06T07:16:46.459Z,"{""Qn"":1,""Qnto"":2,""submitted"":""Yes""}"
gan49UJ6RY9RJABg1Cx9,QSubmit,99,2025-03-06T07:17:00.931Z,"{""Qn"":2,""Soption"":"""",""FirsttimeSeen"":52,""ResponseTime"":47}"
gan49UJ6RY9RJABg1Cx9,QChange,99,2025-03-06T07:17:00.932Z,"{""Qn"":2,""Qnto"":3,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,99,2025-03-06T07:17:00.932Z,"{""Qn"":3,""FirsttimeSeen"":99}"
gan49UJ6RY9RJABg1Cx9,QSubmit,111,2025-03-06T07:17:13.011Z,"{""Qn"":3,""Soption"":0,""FirsttimeSeen"":99,""ResponseTime"":12}"
gan49UJ6RY9RJABg1Cx9,QChange,111,2025-03-06T07:17:13.011Z,"{""Qn"":3,""Qnto"":4,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,111,2025-03-06T07:17:13.012Z,"{""Qn"":4,""FirsttimeSeen"":111}"
gan49UJ6RY9RJABg1Cx9,QSubmit,171,2025-03-06T07:18:13.170Z,"{""Qn"":4,""Soption"":1,""FirsttimeSeen"":111,""ResponseTime"":60}"
gan49UJ6RY9RJABg1Cx9,QChange,171,2025-03-06T07:18:13.171Z,"{""Qn"":4,""Qnto"":5,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,171,2025-03-06T07:18:13.171Z,"{""Qn"":5,""FirsttimeSeen"":171}"
gan49UJ6RY9RJABg1Cx9,QSubmit,200,2025-03-06T07:18:42.595Z,"{""Qn"":5,""Soption"":1,""FirsttimeSeen"":171,""ResponseTime"":29}"
gan49UJ6RY9RJABg1Cx9,QChange,200,2025-03-06T07:18:42.596Z,"{""Qn"":5,""Qnto"":6,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,Qfirstseen,200,2025-03-06T07:18:42.596Z,"{""Qn"":6,""FirsttimeSeen"":200}"
gan49UJ6RY9RJABg1Cx9,QChange,209,2025-03-06T07:18:51.890Z,"{""Qn"":6,""Qnto"":5,""submitted"":""No""}"
gan49UJ6RY9RJABg1Cx9,QChange,210,2025-03-06T07:18:52.762Z,"{""Qn"":5,""Qnto"":6,""submitted"":""Yes""}"
gan49UJ6RY9RJABg1Cx9,REVIEWED,239,2025-03-06T07:19:21.284Z,"{""Qn"":6}"
